timestamp_iso,epoch_ms,process,pid,cpu_percent_of_one_core,working_set_mb,private_mb,threads,handles
2026-08-22T19:38:34.055,1787402314055,node,3728,6.2,103.01,108.49,12,221
2026-08-22T19:38:34.055,1787402314055,node,13132,0,57.98,55.7,14,183
2026-08-22T19:38:34.055,1787402314055,java,4556,3.9,183.09,1191.2,57,695
2026-08-22T19:38:36.072,1787402316072,node,3728,4.6,103.01,108.49,12,221
2026-08-22T19:38:36.072,1787402316072,node,13132,0,57.98,55.7,14,183
2026-08-22T19:38:36.072,1787402316072,java,4556,7,184.36,1192.43,57,698
2026-08-22T19:38:38.097,1787402318097,node,3728,6.9,103.58,109.23,12,221
2026-08-22T19:38:38.097,1787402318097,node,13132,0,57.98,55.7,14,183
2026-08-22T19:38:38.097,1787402318097,java,4556,5.4,182.97,1191.03,57,698
2026-08-22T19:38:40.126,1787402320126,node,3728,8.5,103.58,109.23,12,222
2026-08-22T19:38:40.126,1787402320126,node,13132,0,57.98,55.7,14,183
2026-08-22T19:38:40.126,1787402320126,java,4556,6.2,187.43,1195.6,57,701
2026-08-22T19:38:42.141,1787402322141,node,3728,7.8,103.58,109.23,12,223
2026-08-22T19:38:42.141,1787402322141,node,13132,0,57.98,55.7,14,183
2026-08-22T19:38:42.141,1787402322141,java,4556,8.5,187.8,1195.76,57,704
2026-08-22T19:38:44.169,1787402324169,node,3728,8.5,103.58,109.23,12,223
2026-08-22T19:38:44.169,1787402324169,node,13132,0,57.98,55.7,14,183
2026-08-22T19:38:44.169,1787402324169,java,4556,5.4,184.45,1192.45,57,704
2026-08-22T19:38:46.190,1787402326190,node,3728,5.4,103.58,109.23,12,224
2026-08-22T19:38:46.190,1787402326190,node,13132,0,57.98,55.7,14,183
2026-08-22T19:38:46.190,1787402326190,java,4556,9.3,184.6,1192.6,57,707
2026-08-22T19:38:48.215,1787402328215,node,3728,10,103.58,109.23,12,225
2026-08-22T19:38:48.215,1787402328215,node,13132,0,57.98,55.7,14,183
2026-08-22T19:38:48.215,1787402328215,java,4556,5.4,183.73,1191.66,54,710
2026-08-22T19:38:50.243,1787402330243,node,3728,5.4,103.58,109.23,12,225
2026-08-22T19:38:50.243,1787402330243,node,13132,0,57.98,55.7,14,183
2026-08-22T19:38:50.243,1787402330243,java,4556,7.7,191.65,1199.73,54,710
2026-08-22T19:38:52.268,1787402332268,node,3728,6.9,103.58,109.23,12,225
2026-08-22T19:38:52.268,1787402332268,node,13132,0,57.99,55.67,13,183
