timestamp_iso,epoch_ms,process,pid,cpu_percent_of_one_core,working_set_mb,private_mb,threads,handles
2026-08-22T18:31:51.648,1787398311648,node,3728,3.1,81.84,89.05,12,220
2026-08-22T18:31:51.648,1787398311648,node,14640,0,57.65,57.45,14,183
2026-08-22T18:31:51.648,1787398311648,java,2292,3.9,183.5,1191.25,59,705
2026-08-22T18:31:53.661,1787398313661,node,3728,4.7,81.84,89.05,12,220
2026-08-22T18:31:53.661,1787398313661,node,14640,0,57.65,57.45,14,183
2026-08-22T18:31:53.661,1787398313661,java,2292,8.5,183.57,1191.32,59,705
2026-08-22T18:31:55.674,1787398315674,node,3728,5.4,81.84,89.05,12,221
2026-08-22T18:31:55.674,1787398315674,node,14640,0,57.65,57.45,14,183
2026-08-22T18:31:55.674,1787398315674,java,2292,3.1,183.02,1190.58,59,708
2026-08-22T18:31:57.685,1787398317685,node,3728,3.1,81.86,89.05,12,222
2026-08-22T18:31:57.685,1787398317685,node,14640,0,57.65,57.45,14,183
2026-08-22T18:31:57.685,1787398317685,java,2292,4.7,184.39,1192.04,59,711
2026-08-22T18:31:59.696,1787398319696,node,3728,10.1,81.86,89.05,12,223
2026-08-22T18:31:59.696,1787398319696,node,14640,0,57.66,57.45,14,183
2026-08-22T18:31:59.696,1787398319696,java,2292,7,186.76,1194.35,59,711
2026-08-22T18:32:01.727,1787398321727,node,3728,3.8,81.86,89.05,12,223
2026-08-22T18:32:01.727,1787398321727,node,14640,0.8,57.66,57.45,14,183
2026-08-22T18:32:01.727,1787398321727,java,2292,3.1,184.96,1192.66,59,714
2026-08-22T18:32:03.752,1787398323752,node,3728,4.6,81.86,89.05,12,225
2026-08-22T18:32:03.752,1787398323752,node,14640,0,57.66,57.45,14,183
2026-08-22T18:32:03.752,1787398323752,java,2292,3.9,186.86,1194.45,59,717
2026-08-22T18:32:05.764,1787398325764,node,3728,3.9,81.86,89.05,12,224
2026-08-22T18:32:05.764,1787398325764,node,14640,0,57.66,57.45,14,183
2026-08-22T18:32:05.764,1787398325764,java,2292,6.2,183.74,1191.33,56,717
2026-08-22T18:32:07.789,1787398327789,node,3728,6.9,81.86,89.05,12,225
2026-08-22T18:32:07.789,1787398327789,node,14640,0,57.66,57.45,14,183
2026-08-22T18:32:07.789,1787398327789,java,2292,6.2,184.62,1192.17,56,720
2026-08-22T18:32:09.815,1787398329815,node,3728,5.4,81.86,89.05,12,225
2026-08-22T18:32:09.815,1787398329815,node,14640,0,57.67,57.42,13,183
2026-08-22T18:32:09.815,1787398329815,java,2292,4.6,184.87,1192.42,56,720
2026-08-22T18:32:11.842,1787398331842,node,3728,3.1,82.43,89.68,12,225
2026-08-22T18:32:11.842,1787398331842,node,14640,0,57.67,57.42,13,183
2026-08-22T18:32:11.842,1787398331842,java,2292,5.4,186.2,1193.86,56,720
2026-08-22T18:32:13.857,1787398333857,node,3728,7,82.43,89.68,12,225
2026-08-22T18:32:13.857,1787398333857,node,14640,0,57.67,57.42,13,183
2026-08-22T18:32:13.857,1787398333857,java,2292,2.3,187.07,1194.67,56,720
2026-08-22T18:32:15.870,1787398335870,node,3728,7.8,82.43,89.68,12,225
2026-08-22T18:32:15.870,1787398335870,node,14640,0,57.67,57.42,13,183
2026-08-22T18:32:15.870,1787398335870,java,2292,4.7,184.9,1192.52,56,720
2026-08-22T18:32:17.902,1787398337902,node,3728,6.9,82.48,89.68,12,225
2026-08-22T18:32:17.902,1787398337902,node,14640,0,57.67,57.42,13,183
2026-08-22T18:32:17.902,1787398337902,java,2292,3.1,190.79,1199.04,56,720
2026-08-22T18:32:19.925,1787398339925,node,3728,7.7,82.48,89.68,12,225
2026-08-22T18:32:19.925,1787398339925,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:19.925,1787398339925,java,2292,1.5,191.51,1199.61,56,720
2026-08-22T18:32:21.954,1787398341954,node,3728,6.9,82.48,89.68,12,225
2026-08-22T18:32:21.954,1787398341954,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:21.954,1787398341954,java,2292,4.6,185.72,1193.19,56,720
2026-08-22T18:32:23.981,1787398343981,node,3728,6.9,82.48,89.68,12,225
2026-08-22T18:32:23.981,1787398343981,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:23.981,1787398343981,java,2292,3.1,186.52,1193.91,56,720
2026-08-22T18:32:25.995,1787398345995,node,3728,5.4,82.48,89.68,12,225
2026-08-22T18:32:25.995,1787398345995,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:25.995,1787398345995,java,2292,4.7,184.32,1191.69,56,720
2026-08-22T18:32:28.021,1787398348021,node,3728,5.4,82.48,89.68,12,225
2026-08-22T18:32:28.021,1787398348021,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:28.021,1787398348021,java,2292,6.9,190.38,1197.73,56,720
2026-08-22T18:32:30.048,1787398350048,node,3728,8.5,82.48,89.68,12,225
2026-08-22T18:32:30.048,1787398350048,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:30.048,1787398350048,java,2292,6.2,191.58,1199.04,56,720
2026-08-22T18:32:32.078,1787398352078,node,3728,5.4,82.48,89.68,12,225
2026-08-22T18:32:32.078,1787398352078,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:32.078,1787398352078,java,2292,4.6,187.7,1196.05,56,720
2026-08-22T18:32:34.109,1787398354109,node,3728,2.3,82.48,89.68,12,225
2026-08-22T18:32:34.109,1787398354109,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:34.109,1787398354109,java,2292,0,187.7,1196.05,56,720
2026-08-22T18:32:36.129,1787398356129,node,3728,3.9,82.48,89.68,12,225
2026-08-22T18:32:36.129,1787398356129,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:36.129,1787398356129,java,2292,4.6,185.75,1193.23,56,720
2026-08-22T18:32:38.156,1787398358156,node,3728,6.9,82.48,89.68,12,225
2026-08-22T18:32:38.156,1787398358156,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:38.156,1787398358156,java,2292,2.3,186,1193.48,56,720
2026-08-22T18:32:40.183,1787398360183,node,3728,9.3,82.51,89.68,12,225
2026-08-22T18:32:40.183,1787398360183,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:40.183,1787398360183,java,2292,3.1,186.06,1193.54,56,720
2026-08-22T18:32:42.212,1787398362212,node,3728,4.6,82.51,89.68,12,225
2026-08-22T18:32:42.212,1787398362212,node,14640,0,57.68,57.42,13,183
2026-08-22T18:32:42.212,1787398362212,java,2292,6.9,187.96,1195.41,56,720
2026-08-22T18:32:44.245,1787398364245,node,3728,9.2,82.51,89.68,12,225
